Gmt time,Open,High,Low,Close,Volume
19.06.2017 00:00:00.000,110.970,111.136,110.932,111.041,19081.72
19.06.2017 04:00:00.000,111.042,111.209,110.912,111.108,20747.8402
19.06.2017 08:00:00.000,111.109,111.133,110.923,111.057,22562.5302
19.06.2017 12:00:00.000,111.056,111.390,110.909,111.336,38543.8106
19.06.2017 16:00:00.000,111.336,111.603,111.327,111.580,25121.2798
19.06.2017 20:00:00.000,111.587,111.741,111.509,111.696,18827.7302
20.06.2017 00:00:00.000,111.697,111.776,111.621,111.688,20656.3701
20.06.2017 04:00:00.000,111.688,111.787,111.540,111.669,24072.500500000002
20.06.2017 08:00:00.000,111.669,111.673,111.465,111.597,23948.629999999997
20.06.2017 12:00:00.000,111.598,111.730,111.308,111.462,40459.9609
20.06.2017 16:00:00.000,111.461,111.567,111.381,111.461,26985.2798
20.06.2017 20:00:00.000,111.462,111.491,111.270,111.338,17396.4803
21.06.2017 00:00:00.000,111.337,111.418,111.188,111.229,21702.6201
21.06.2017 04:00:00.000,111.229,111.330,111.080,111.138,21173.03
21.06.2017 08:00:00.000,111.136,111.420,111.068,111.408,27174.6602
21.06.2017 12:00:00.000,111.409,111.739,111.403,111.592,42757.0508
21.06.2017 16:00:00.000,111.593,111.596,111.240,111.345,46061.9292
21.06.2017 20:00:00.000,111.345,111.436,111.258,111.327,21224.1601
22.06.2017 00:00:00.000,111.330,111.353,110.950,111.150,27269.8203
22.06.2017 04:00:00.000,111.151,111.171,110.953,111.013,26811.3306
22.06.2017 08:00:00.000,111.013,111.374,111.000,111.321,35584.56
22.06.2017 12:00:00.000,111.321,111.446,111.077,111.369,41352.42
22.06.2017 16:00:00.000,111.370,111.444,111.237,111.241,22747.5698
22.06.2017 20:00:00.000,111.242,111.333,111.231,111.296,13057.8696
23.06.2017 00:00:00.000,111.296,111.430,111.226,111.312,16253.9002
23.06.2017 04:00:00.000,111.313,111.361,111.216,111.286,19108.5102
23.06.2017 08:00:00.000,111.287,111.314,111.155,111.240,24809.3301
23.06.2017 12:00:00.000,111.242,111.341,111.160,111.269,39041.2696
23.06.2017 16:00:00.000,111.269,111.324,111.195,111.256,21907.8501
23.06.2017 20:00:00.000,111.258,111.314,111.250,111.264,3631.04
25.06.2017 20:00:00.000,111.103,111.323,111.103,111.237,5424.47
26.06.2017 00:00:00.000,111.236,111.349,111.213,111.308,15628.5298
26.06.2017 04:00:00.000,111.308,111.494,111.286,111.460,16980.9903
26.06.2017 08:00:00.000,111.460,111.726,111.443,111.657,28690.2802
26.06.2017 12:00:00.000,111.657,111.709,111.357,111.484,41627.7393
26.06.2017 16:00:00.000,111.483,111.945,111.476,111.864,22957.9599
26.06.2017 20:00:00.000,111.864,111.921,111.819,111.870,12762.5398
27.06.2017 00:00:00.000,111.870,112.076,111.853,111.883,21422.23
27.06.2017 04:00:00.000,111.882,111.919,111.610,111.636,21830.730199999998
27.06.2017 08:00:00.000,111.635,111.947,111.461,111.937,36171.5893
27.06.2017 12:00:00.000,111.936,112.448,111.832,112.420,41232.1904
27.06.2017 16:00:00.000,112.420,112.465,112.066,112.166,36273.0996
27.06.2017 20:00:00.000,112.171,112.370,112.156,112.196,17552.7902
28.06.2017 00:00:00.000,112.196,112.241,112.031,112.108,27144.7803
28.06.2017 04:00:00.000,112.113,112.415,112.080,112.147,33561.9698
28.06.2017 08:00:00.000,112.146,112.230,111.830,112.121,37230.5596
28.06.2017 12:00:00.000,112.122,112.311,111.922,112.170,59043.6787
28.06.2017 16:00:00.000,112.171,112.357,112.134,112.244,23020.5201
28.06.2017 20:00:00.000,112.244,112.404,112.244,112.354,18297.05
29.06.2017 00:00:00.000,112.350,112.382,112.159,112.279,20865.1001
29.06.2017 04:00:00.000,112.280,112.507,112.134,112.497,29356.9595
29.06.2017 08:00:00.000,112.502,112.744,112.390,112.683,41639.1006
29.06.2017 12:00:00.000,112.681,112.925,112.263,112.312,55901.9004
29.06.2017 16:00:00.000,112.315,112.357,111.812,112.064,40538.7408
29.06.2017 20:00:00.000,112.058,112.174,111.892,111.995,18247.24
30.06.2017 00:00:00.000,111.997,112.139,111.733,111.832,30962.9004
30.06.2017 04:00:00.000,111.832,112.149,111.761,112.056,32490.880400000002
30.06.2017 08:00:00.000,112.058,112.081,111.817,111.990,28795.04
30.06.2017 12:00:00.000,111.991,112.399,111.858,112.396,48374.489199999996
30.06.2017 16:00:00.000,112.396,112.606,112.307,112.464,21348.5303
30.06.2017 20:00:00.000,112.461,112.498,112.335,112.352,5791.3901
02.07.2017 20:00:00.000,112.058,112.387,112.058,112.244,7747.58
03.07.2017 00:00:00.000,112.241,112.550,112.197,112.532,19499.2497
03.07.2017 04:00:00.000,112.531,112.870,112.453,112.791,23566.030700000003
03.07.2017 08:00:00.000,112.789,113.076,112.787,112.977,25398.4297
03.07.2017 12:00:00.000,112.980,113.457,112.848,113.326,41609.040499999996
03.07.2017 16:00:00.000,113.327,113.447,113.269,113.446,15123.400199999998
03.07.2017 20:00:00.000,113.446,113.471,113.255,113.384,21502.8798
04.07.2017 00:00:00.000,113.387,113.391,113.129,113.195,21125.0098
04.07.2017 04:00:00.000,113.196,113.223,112.740,113.110,34804.0605
04.07.2017 08:00:00.000,113.110,113.286,113.098,113.182,18610.0998
04.07.2017 12:00:00.000,113.181,113.260,113.116,113.177,16897.969699999998
04.07.2017 16:00:00.000,113.175,113.264,113.170,113.264,22473.8902
04.07.2017 20:00:00.000,113.263,113.353,112.900,112.966,17250.8398
05.07.2017 00:00:00.000,112.968,113.091,112.825,113.044,26000.2002
05.07.2017 04:00:00.000,113.044,113.581,113.038,113.484,27340.8693
05.07.2017 08:00:00.000,113.487,113.686,113.487,113.509,27657.8497
05.07.2017 12:00:00.000,113.511,113.635,113.077,113.204,36679.989799999996
05.07.2017 16:00:00.000,113.203,113.525,112.976,113.223,27292.6392
05.07.2017 20:00:00.000,113.226,113.287,113.073,113.199,15293.449700000001
06.07.2017 00:00:00.000,113.201,113.306,112.886,112.937,25250.4898
06.07.2017 04:00:00.000,112.936,113.381,112.896,113.335,23191.3198
06.07.2017 08:00:00.000,113.334,113.469,113.176,113.342,33096.7003
06.07.2017 12:00:00.000,113.342,113.418,113.026,113.298,43534.5303
06.07.2017 16:00:00.000,113.296,113.359,113.161,113.201,21956.6099
06.07.2017 20:00:00.000,113.202,113.222,113.105,113.154,13868.259699999999
07.07.2017 00:00:00.000,113.153,113.835,113.153,113.635,33221.3906
07.07.2017 04:00:00.000,113.635,113.817,113.551,113.694,27303.189400000003
07.07.2017 08:00:00.000,113.693,113.844,113.646,113.754,22363.5303
07.07.2017 12:00:00.000,113.755,114.179,113.502,114.098,47548.3798
07.07.2017 16:00:00.000,114.099,114.104,113.867,113.885,17256.559800000003
07.07.2017 20:00:00.000,113.886,113.922,113.885,113.894,1779.5
09.07.2017 20:00:00.000,113.863,114.064,113.858,113.972,8076.4697
10.07.2017 00:00:00.000,113.971,114.201,113.907,114.156,18974.4097
10.07.2017 04:00:00.000,114.158,114.301,114.098,114.171,23797.02
10.07.2017 08:00:00.000,114.172,114.263,114.062,114.151,23580.149400000002
10.07.2017 12:00:00.000,114.154,114.249,113.999,114.087,29441.609800000002
10.07.2017 16:00:00.000,114.089,114.164,113.988,114.072,14818.9499
10.07.2017 20:00:00.000,114.075,114.088,114.017,114.062,10913.0801
11.07.2017 00:00:00.000,114.062,114.260,114.034,114.167,23791.8799
11.07.2017 04:00:00.000,114.168,114.479,114.160,114.312,29374.52
11.07.2017 08:00:00.000,114.312,114.376,114.258,114.285,22833.8799
11.07.2017 12:00:00.000,114.286,114.494,114.014,114.195,36416.2701
11.07.2017 16:00:00.000,114.194,114.249,113.718,113.824,31100.9404
11.07.2017 20:00:00.000,113.827,113.967,113.740,113.748,191765.5888
12.07.2017 00:00:00.000,113.747,113.804,113.359,113.370,29470.3999
12.07.2017 04:00:00.000,113.372,113.581,113.315,113.451,28913.3706
12.07.2017 08:00:00.000,113.452,113.573,113.334,113.533,22032.56
12.07.2017 12:00:00.000,113.535,113.718,112.926,113.192,50774.2597
12.07.2017 16:00:00.000,113.190,113.334,113.090,113.193,24293.7202
12.07.2017 20:00:00.000,113.192,113.360,113.125,113.327,12338.1502
13.07.2017 00:00:00.000,113.325,113.527,112.860,112.917,29801.630400000002
13.07.2017 04:00:00.000,112.918,113.189,112.877,113.124,25372.9202
13.07.2017 08:00:00.000,113.124,113.189,112.894,113.158,31050.06
13.07.2017 12:00:00.000,113.159,113.470,113.113,113.398,37613.0098
13.07.2017 16:00:00.000,113.398,113.400,113.174,113.215,28572.0098
13.07.2017 20:00:00.000,113.214,113.473,113.214,113.422,15774.280000000002
14.07.2017 00:00:00.000,113.424,113.576,113.358,113.403,22714.5197
14.07.2017 04:00:00.000,113.402,113.469,113.149,113.288,21248.7104
14.07.2017 08:00:00.000,113.290,113.330,113.059,113.064,30667.6406
14.07.2017 12:00:00.000,113.064,113.107,112.260,112.664,65773.74909999999
14.07.2017 16:00:00.000,112.666,112.696,112.489,112.534,16582.61
14.07.2017 20:00:00.000,112.532,112.551,112.481,112.519,4606.48
16.07.2017 20:00:00.000,112.442,112.620,112.398,112.410,10019.1502
17.07.2017 00:00:00.000,112.414,112.691,112.414,112.593,22013.2898
17.07.2017 04:00:00.000,112.593,112.772,112.528,112.597,20840.7703
17.07.2017 08:00:00.000,112.598,112.623,112.346,112.412,24515.869599999998
17.07.2017 12:00:00.000,112.411,112.867,112.328,112.761,38270.8492
17.07.2017 16:00:00.000,112.758,112.764,112.552,112.580,26379.29
17.07.2017 20:00:00.000,112.580,112.686,112.558,112.602,35034.1595
18.07.2017 00:00:00.000,112.601,112.622,111.986,112.152,35045.7509
18.07.2017 04:00:00.000,112.152,112.346,112.032,112.239,28110.3301
18.07.2017 08:00:00.000,112.238,112.376,111.963,112.089,32099.499499999998
18.07.2017 12:00:00.000,112.089,112.157,111.686,111.896,46467.7598
18.07.2017 16:00:00.000,111.893,112.111,111.824,112.015,22322.1803
18.07.2017 20:00:00.000,112.013,112.112,111.944,111.992,24327.98
19.07.2017 00:00:00.000,111.993,112.136,111.883,112.034,44674.179599999996
19.07.2017 04:00:00.000,112.034,112.231,111.961,112.140,27822.6099
19.07.2017 08:00:00.000,112.141,112.166,111.896,111.978,25876.2192
19.07.2017 12:00:00.000,111.977,111.981,111.554,111.758,45399.2099
19.07.2017 16:00:00.000,111.758,111.857,111.697,111.824,37283.6299
19.07.2017 20:00:00.000,111.823,111.993,111.796,111.883,14298.7801
20.07.2017 00:00:00.000,111.883,112.177,111.771,112.155,35114.6401
20.07.2017 04:00:00.000,112.153,112.321,112.011,112.283,32245.8794
20.07.2017 08:00:00.000,112.282,112.418,112.137,112.213,32571.949800000002
20.07.2017 12:00:00.000,112.214,112.338,111.477,111.676,60824.6006
20.07.2017 16:00:00.000,111.675,112.032,111.604,111.913,24980.2895
20.07.2017 20:00:00.000,111.913,111.953,111.804,111.890,13665.5103
21.07.2017 00:00:00.000,111.890,112.072,111.838,111.967,23668.0601
21.07.2017 04:00:00.000,111.966,112.077,111.707,111.747,31661.480499999998
21.07.2017 08:00:00.000,111.747,111.791,111.435,111.553,30749.2398
21.07.2017 12:00:00.000,111.556,111.558,111.087,111.180,38616.3208
21.07.2017 16:00:00.000,111.184,111.223,111.012,111.075,22522.019500000002
21.07.2017 20:00:00.000,111.075,111.146,111.067,111.121,5623.1001
23.07.2017 20:00:00.000,111.101,111.200,110.922,110.932,9307.02
24.07.2017 00:00:00.000,110.934,111.059,110.768,110.943,29219.7901
24.07.2017 04:00:00.000,110.944,111.176,110.719,110.824,33613.1699
24.07.2017 08:00:00.000,110.823,110.900,110.622,110.835,28527.4795
24.07.2017 12:00:00.000,110.834,111.129,110.773,111.090,29237.8199
24.07.2017 16:00:00.000,111.092,111.317,111.071,111.111,22309.6104
24.07.2017 20:00:00.000,111.108,111.275,111.077,111.235,13027.7602
25.07.2017 00:00:00.000,111.240,111.342,111.019,111.063,24239.1699
25.07.2017 04:00:00.000,111.063,111.248,110.828,111.201,29430.92
25.07.2017 08:00:00.000,111.199,111.528,111.185,111.455,33703.7402
25.07.2017 12:00:00.000,111.455,111.688,111.305,111.578,46861.300899999995
25.07.2017 16:00:00.000,111.579,111.943,111.563,111.892,32400.1695
25.07.2017 20:00:00.000,111.894,112.029,111.832,112.009,14879.23
26.07.2017 00:00:00.000,112.012,112.085,111.859,111.896,26450.7305
26.07.2017 04:00:00.000,111.898,111.997,111.785,111.835,25436.4599
26.07.2017 08:00:00.000,111.835,111.927,111.720,111.820,38472.1201
26.07.2017 12:00:00.000,111.820,112.161,111.720,112.108,43256.2393
26.07.2017 16:00:00.000,112.111,112.199,111.060,111.228,45295.2187
26.07.2017 20:00:00.000,111.226,111.266,111.052,111.157,20266.4301
27.07.2017 00:00:00.000,111.156,111.196,110.781,110.894,35667.890100000004
27.07.2017 04:00:00.000,110.892,111.276,110.854,111.204,41778.0097
27.07.2017 08:00:00.000,111.208,111.452,111.169,111.416,59594.911100000005
27.07.2017 12:00:00.000,111.416,111.669,111.260,111.630,43760.2705
27.07.2017 16:00:00.000,111.629,111.711,110.956,111.199,42921.8116
27.07.2017 20:00:00.000,111.199,111.336,111.061,111.092,19817.4204
28.07.2017 00:00:00.000,111.090,111.161,110.922,111.115,30617.2798
28.07.2017 04:00:00.000,111.117,111.145,110.874,111.098,32053.4199
28.07.2017 08:00:00.000,111.098,111.288,111.056,111.242,31039.9502
28.07.2017 12:00:00.000,111.244,111.253,110.670,110.835,54481.6202
28.07.2017 16:00:00.000,110.840,110.914,110.548,110.577,25755.3901
28.07.2017 20:00:00.000,110.577,110.746,110.570,110.690,4851.3599
30.07.2017 20:00:00.000,110.629,110.675,110.473,110.505,10841.560099999999
31.07.2017 00:00:00.000,110.505,110.598,110.309,110.557,27851.730499999998
31.07.2017 04:00:00.000,110.557,110.774,110.468,110.628,24586.5098
31.07.2017 08:00:00.000,110.626,110.706,110.497,110.569,24155.2402
31.07.2017 12:00:00.000,110.570,110.651,110.359,110.375,41326.1807
31.07.2017 16:00:00.000,110.377,110.466,110.215,110.237,27784.129399999998
31.07.2017 20:00:00.000,110.233,110.408,110.211,110.356,30079.2696
01.08.2017 00:00:00.000,110.358,110.425,110.003,110.183,30867.5006
01.08.2017 04:00:00.000,110.182,110.290,110.133,110.199,27111.58
01.08.2017 08:00:00.000,110.200,110.526,110.091,110.486,37663.909700000004
01.08.2017 12:00:00.000,110.486,110.588,109.919,110.330,53530.9503
01.08.2017 16:00:00.000,110.330,110.366,110.155,110.313,27408.3301
01.08.2017 20:00:00.000,110.315,110.486,110.303,110.438,22180.7202
02.08.2017 00:00:00.000,110.438,110.700,110.353,110.677,27135.409600000003
02.08.2017 04:00:00.000,110.678,110.923,110.622,110.792,31974.98
02.08.2017 08:00:00.000,110.791,110.886,110.688,110.739,34216.6592
02.08.2017 12:00:00.000,110.737,110.984,110.283,110.439,62938.2197
02.08.2017 16:00:00.000,110.438,110.699,110.296,110.683,28542.5703
02.08.2017 20:00:00.000,110.683,110.826,110.657,110.757,17874.5197
03.08.2017 00:00:00.000,110.755,110.824,110.573,110.705,26591.9399
03.08.2017 04:00:00.000,110.705,110.750,110.562,110.640,22044.320200000002
03.08.2017 08:00:00.000,110.640,110.727,110.325,110.370,32424.659699999997
03.08.2017 12:00:00.000,110.369,110.515,109.950,110.130,48440.7099
03.08.2017 16:00:00.000,110.131,110.228,109.855,109.936,28163.0098
03.08.2017 20:00:00.000,109.937,110.050,109.845,109.889,22555.190000000002
04.08.2017 00:00:00.000,109.888,110.186,109.847,110.097,24557.98
04.08.2017 04:00:00.000,110.095,110.176,110.032,110.078,21871.0903
04.08.2017 08:00:00.000,110.078,110.133,110.008,110.098,20463.52
04.08.2017 12:00:00.000,110.098,111.048,110.056,110.757,57466.958999999995
04.08.2017 16:00:00.000,110.756,110.864,110.586,110.674,27867.2299
04.08.2017 20:00:00.000,110.675,110.737,110.637,110.662,3289.4399
06.08.2017 20:00:00.000,110.707,110.849,110.694,110.812,15134.5301
07.08.2017 00:00:00.000,110.810,110.828,110.645,110.705,22028.300300000003
07.08.2017 04:00:00.000,110.704,110.801,110.655,110.783,19463.8797
07.08.2017 08:00:00.000,110.783,110.891,110.719,110.830,22680.0298
07.08.2017 12:00:00.000,110.828,110.919,110.696,110.765,30635.54
07.08.2017 16:00:00.000,110.764,110.834,110.697,110.732,31561.769999999997
07.08.2017 20:00:00.000,110.734,110.791,110.718,110.763,9357.41
08.08.2017 00:00:00.000,110.766,110.810,110.571,110.647,17014.1401
08.08.2017 04:00:00.000,110.648,110.650,110.530,110.588,17026.5102
08.08.2017 08:00:00.000,110.588,110.593,110.283,110.337,21226.889600000002
08.08.2017 12:00:00.000,110.336,110.829,110.248,110.728,38946.609899999996
08.08.2017 16:00:00.000,110.727,110.741,110.303,110.348,29420.079999999998
08.08.2017 20:00:00.000,110.347,110.412,110.065,110.103,14033.500199999999
09.08.2017 00:00:00.000,110.105,110.152,109.743,109.816,29647.1504
09.08.2017 04:00:00.000,109.816,110.075,109.812,109.819,25866.249000000003
09.08.2017 08:00:00.000,109.818,109.868,109.656,109.723,29227.0205
09.08.2017 12:00:00.000,109.722,110.168,109.559,110.043,278390.57719999994
09.08.2017 16:00:00.000,110.043,110.097,109.746,109.999,30194.3301
09.08.2017 20:00:00.000,109.999,110.084,109.896,110.037,12509.6797
10.08.2017 00:00:00.000,110.036,110.179,109.952,109.983,23971.6099
10.08.2017 04:00:00.000,109.982,110.056,109.900,110.015,22610.980499999998
10.08.2017 08:00:00.000,110.014,110.022,109.732,109.843,24013.800399999996
10.08.2017 12:00:00.000,109.840,109.840,109.253,109.372,54479.880900000004
10.08.2017 16:00:00.000,109.373,109.379,109.147,109.167,36018.4405
10.08.2017 20:00:00.000,109.166,109.273,109.083,109.096,20217.2903
11.08.2017 00:00:00.000,109.096,109.122,108.907,108.976,21777.9297
11.08.2017 04:00:00.000,108.976,109.266,108.939,109.120,24962.5396
11.08.2017 08:00:00.000,109.121,109.207,108.910,109.138,33066.1602
11.08.2017 12:00:00.000,109.137,109.401,108.729,109.060,57428.400499999996
11.08.2017 16:00:00.000,109.063,109.105,108.918,109.083,29282.0503
11.08.2017 20:00:00.000,109.082,109.200,109.070,109.168,3780.99
13.08.2017 20:00:00.000,109.155,109.257,109.049,109.257,10763.0298
14.08.2017 00:00:00.000,109.258,109.539,109.203,109.523,26992.9301
